"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","UNEMP","15_24","PC_LF","M","2020-07",24.2,
"CAN","UNEMP","15_24","PC_LF","M","2020-08",23.1,
"CAN","UNEMP","15_24","PC_LF","M","2020-09",18.9,
"CAN","UNEMP","15_24","PC_LF","M","2020-10",18.8,
"CAN","UNEMP","15_24","PC_LF","M","2020-11",17.4,
"USA","UNEMP","15_24","PC_LF","M","2019-09",8,
"USA","UNEMP","15_24","PC_LF","M","2019-10",7.9,
"USA","UNEMP","15_24","PC_LF","M","2019-11",8,
"USA","UNEMP","15_24","PC_LF","M","2019-12",8.1,
"USA","UNEMP","15_24","PC_LF","M","2020-01",8.2,
"USA","UNEMP","15_24","PC_LF","M","2020-02",7.7,
"USA","UNEMP","15_24","PC_LF","M","2020-03",10.3,
"USA","UNEMP","15_24","PC_LF","M","2020-04",27.4,
"USA","UNEMP","15_24","PC_LF","M","2020-05",25.2,
"USA","UNEMP","15_24","PC_LF","M","2020-06",20.7,
"USA","UNEMP","15_24","PC_LF","M","2020-07",18.6,
"USA","UNEMP","15_24","PC_LF","M","2020-08",14.7,
"USA","UNEMP","15_24","PC_LF","M","2020-09",13.5,
"USA","UNEMP","15_24","PC_LF","M","2020-10",11.7,
"USA","UNEMP","15_24","PC_LF","M","2020-11",11.5,
"HUN","UNEMP","15_24","PC_LF","M","2019-09",12.3,
"HUN","UNEMP","15_24","PC_LF","M","2019-10",12.8,
"HUN","UNEMP","15_24","PC_LF","M","2019-11",12.3,
"HUN","UNEMP","15_24","PC_LF","M","2019-12",10.9,
"HUN","UNEMP","15_24","PC_LF","M","2020-01",10.7,
"HUN","UNEMP","15_24","PC_LF","M","2020-02",11.3,
"HUN","UNEMP","15_24","PC_LF","M","2020-03",11.9,
"HUN","UNEMP","15_24","PC_LF","M","2020-04",13.5,
"HUN","UNEMP","15_24","PC_LF","M","2020-05",15.9,
"HUN","UNEMP","15_24","PC_LF","M","2020-06",15.2,
"HUN","UNEMP","15_24","PC_LF","M","2020-07",14.1,
"HUN","UNEMP","15_24","PC_LF","M","2020-08",12.4,
"HUN","UNEMP","15_24","PC_LF","M","2020-09",11.5,
"COL","UNEMP","15_24","PC_LF","M","2019-09",22.42824,
"COL","UNEMP","15_24","PC_LF","M","2019-10",22.19357,
"COL","UNEMP","15_24","PC_LF","M","2019-11",19.6135,
"COL","UNEMP","15_24","PC_LF","M","2019-12",19.41244,
"COL","UNEMP","15_24","PC_LF","M","2020-01",21.94409,
"COL","UNEMP","15_24","PC_LF","M","2020-02",21.30876,
"COL","UNEMP","15_24","PC_LF","M","2020-03",21.96036,
"COL","UNEMP","15_24","PC_LF","M","2020-04",32.6427,
"COL","UNEMP","15_24","PC_LF","M","2020-05",33.83677,
"COL","UNEMP","15_24","PC_LF","M","2020-06",32.47345,
"COL","UNEMP","15_24","PC_LF","M","2020-07",32.36869,
"COL","UNEMP","15_24","PC_LF","M","2020-08",28.26907,
"COL","UNEMP","15_24","PC_LF","M","2020-09",26.01872,
"COL","UNEMP","15_24","PC_LF","M","2020-10",27.61103,
"EU28","UNEMP","15_24","PC_LF","M","2019-09",14.4,
"EU28","UNEMP","15_24","PC_LF","M","2019-10",14.3,
"EU28","UNEMP","15_24","PC_LF","M","2019-11",14.3,
"EU28","UNEMP","15_24","PC_LF","M","2019-12",14.2,
"EU28","UNEMP","15_24","PC_LF","M","2020-01",14.2,
"LUX","UNEMP","15_24","PC_LF","M","2019-09",16.7,
"LUX","UNEMP","15_24","PC_LF","M","2019-10",17.6,
"LUX","UNEMP","15_24","PC_LF","M","2019-11",18,
"LUX","UNEMP","15_24","PC_LF","M","2019-12",18.9,
"LUX","UNEMP","15_24","PC_LF","M","2020-01",18.1,
"LUX","UNEMP","15_24","PC_LF","M","2020-02",17.6,
"LUX","UNEMP","15_24","PC_LF","M","2020-03",19.8,
"LUX","UNEMP","15_24","PC_LF","M","2020-04",24.3,
"LUX","UNEMP","15_24","PC_LF","M","2020-05",25.7,
"LUX","UNEMP","15_24","PC_LF","M","2020-06",26.3,
"LUX","UNEMP","15_24","PC_LF","M","2020-07",24.7,
"LUX","UNEMP","15_24","PC_LF","M","2020-08",22.6,
"LUX","UNEMP","15_24","PC_LF","M","2020-09",22.5,
"LUX","UNEMP","15_24","PC_LF","M","2020-10",21.6,
"DNK","UNEMP","15_24","PC_LF","M","2019-09",10.1,
"DNK","UNEMP","15_24","PC_LF","M","2019-10",10.4,
"DNK","UNEMP","15_24","PC_LF","M","2019-11",10.3,
"DNK","UNEMP","15_24","PC_LF","M","2019-12",9.9,
"DNK","UNEMP","15_24","PC_LF","M","2020-01",9.9,
"DNK","UNEMP","15_24","PC_LF","M","2020-02",9.9,
"DNK","UNEMP","15_24","PC_LF","M","2020-03",10.2,
"DNK","UNEMP","15_24","PC_LF","M","2020-04",10.6,
"DNK","UNEMP","15_24","PC_LF","M","2020-05",12,
"DNK","UNEMP","15_24","PC_LF","M","2020-06",12.6,
"DNK","UNEMP","15_24","PC_LF","M","2020-07",12.7,
"DNK","UNEMP","15_24","PC_LF","M","2020-08",11.9,
"DNK","UNEMP","15_24","PC_LF","M","2020-09",12.2,
"DNK","UNEMP","15_24","PC_LF","M","2020-10",12.3,
"TUR","UNEMP","15_24","PC_LF","M","2019-09",25.9,
"TUR","UNEMP","15_24","PC_LF","M","2019-10",25,
"TUR","UNEMP","15_24","PC_LF","M","2019-11",24,
"TUR","UNEMP","15_24","PC_LF","M","2019-12",24,
"TUR","UNEMP","15_24","PC_LF","M","2020-01",22.8,
"TUR","UNEMP","15_24","PC_LF","M","2020-02",23.4,
"TUR","UNEMP","15_24","PC_LF","M","2020-03",25,
"TUR","UNEMP","15_24","PC_LF","M","2020-04",26.7,
"TUR","UNEMP","15_24","PC_LF","M","2020-05",27,
"TUR","UNEMP","15_24","PC_LF","M","2020-06",27,
"TUR","UNEMP","15_24","PC_LF","M","2020-07",25.7,
"TUR","UNEMP","15_24","PC_LF","M","2020-08",25.6,
"DEU","UNEMP","15_24","PC_LF","M","2019-09",5.7,
"DEU","UNEMP","15_24","PC_LF","M","2019-10",5.7,
"DEU","UNEMP","15_24","PC_LF","M","2019-11",5.7,
"DEU","UNEMP","15_24","PC_LF","M","2019-12",5.7,
"DEU","UNEMP","15_24","PC_LF","M","2020-01",5.7,
"DEU","UNEMP","15_24","PC_LF","M","2020-02",5.8,
"DEU","UNEMP","15_24","PC_LF","M","2020-03",5.9,
"DEU","UNEMP","15_24","PC_LF","M","2020-04",6,
"DEU","UNEMP","15_24","PC_LF","M","2020-05",6.1,
"DEU","UNEMP","15_24","PC_LF","M","2020-06",6.1,
"DEU","UNEMP","15_24","PC_LF","M","2020-07",6.2,
"DEU","UNEMP","15_24","PC_LF","M","2020-08",6.1,
"DEU","UNEMP","15_24","PC_LF","M","2020-09",6.1,
"DEU","UNEMP","15_24","PC_LF","M","2020-10",6,
"OECD","UNEMP","15_24","PC_LF","M","2019-09",11.84233,"E"
"OECD","UNEMP","15_24","PC_LF","M","2019-10",11.69302,"E"
"OECD","UNEMP","15_24","PC_LF","M","2019-11",11.39795,"E"
"OECD","UNEMP","15_24","PC_LF","M","2019-12",11.30944,"E"
"OECD","UNEMP","15_24","PC_LF","M","2020-01",11.4676,"E"
"OECD","UNEMP","15_24","PC_LF","M","2020-02",11.22411,"E"
"OECD","UNEMP","15_24","PC_LF","M","2020-03",12.30241,"E"
"OECD","UNEMP","15_24","PC_LF","M","2020-04",18.95004,"E"
"OECD","UNEMP","15_24","PC_LF","M","2020-05",18.72008,"E"
"OECD","UNEMP","15_24","PC_LF","M","2020-06",17.55819,"E"
"OECD","UNEMP","15_24","PC_LF","M","2020-07",17.05253,"E"
"OECD","UNEMP","15_24","PC_LF","M","2020-08",15.52317,"E"
"OECD","UNEMP","15_24","PC_LF","M","2020-09",14.72141,"E"
"OECD","UNEMP","15_24","PC_LF","M","2020-10",14.39227,"E"
"NLD","UNEMP","15_24","PC_LF","M","2019-09",7.2,
