"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","UNEMP","25_74","PC_LF","M","2020-06",6.2,
"FIN","UNEMP","25_74","PC_LF","M","2020-07",6.7,
"FIN","UNEMP","25_74","PC_LF","M","2020-08",6.7,
"FIN","UNEMP","25_74","PC_LF","M","2020-09",6.9,
"FIN","UNEMP","25_74","PC_LF","M","2020-10",6.6,
"FRA","UNEMP","25_74","PC_LF","M","2019-09",7.2,
"FRA","UNEMP","25_74","PC_LF","M","2019-10",7,
"FRA","UNEMP","25_74","PC_LF","M","2019-11",6.9,
"FRA","UNEMP","25_74","PC_LF","M","2019-12",6.9,
"FRA","UNEMP","25_74","PC_LF","M","2020-01",6.5,
"FRA","UNEMP","25_74","PC_LF","M","2020-02",6.4,
"FRA","UNEMP","25_74","PC_LF","M","2020-03",6.8,
"FRA","UNEMP","25_74","PC_LF","M","2020-04",5.8,
"FRA","UNEMP","25_74","PC_LF","M","2020-05",5.8,
"FRA","UNEMP","25_74","PC_LF","M","2020-06",5.6,
"FRA","UNEMP","25_74","PC_LF","M","2020-07",7.9,
"FRA","UNEMP","25_74","PC_LF","M","2020-08",7.6,
"FRA","UNEMP","25_74","PC_LF","M","2020-09",7.5,
"FRA","UNEMP","25_74","PC_LF","M","2020-10",7.3,
"DEU","UNEMP","25_74","PC_LF","M","2019-09",2.8,
"DEU","UNEMP","25_74","PC_LF","M","2019-10",2.8,
"DEU","UNEMP","25_74","PC_LF","M","2019-11",2.9,
"DEU","UNEMP","25_74","PC_LF","M","2019-12",3,
"DEU","UNEMP","25_74","PC_LF","M","2020-01",3.2,
"DEU","UNEMP","25_74","PC_LF","M","2020-02",3.3,
"DEU","UNEMP","25_74","PC_LF","M","2020-03",3.6,
"DEU","UNEMP","25_74","PC_LF","M","2020-04",3.8,
"DEU","UNEMP","25_74","PC_LF","M","2020-05",4,
"DEU","UNEMP","25_74","PC_LF","M","2020-06",4.1,
"DEU","UNEMP","25_74","PC_LF","M","2020-07",4.2,
"DEU","UNEMP","25_74","PC_LF","M","2020-08",4.3,
"DEU","UNEMP","25_74","PC_LF","M","2020-09",4.3,
"DEU","UNEMP","25_74","PC_LF","M","2020-10",4.3,
"GRC","UNEMP","25_74","PC_LF","M","2019-09",15.9,
